"Occupancy","Time"
"700","2.375"
"701","2.375"
"702","2.375"
"703","2.375"
"704","2.375"
"705","2.375"
"706","2.375"
"707","2.375"
"708","2.375"
"709","2.375"
"710","2.375"
"711","2.375"
"712","2.375"
"713","2.375"
"714","2.375"
"715","2.375"
"716","2.375"
"717","2.375"
"718","2.375"
"719","2.375"
"720","2.375"
"721","2.375"
"722","2.375"
"723","2.375"
"724","2.375"
"725","2.375"
"726","2.375"
"727","2.375"
"728","2.375"
"729","2.375"
"730","2.375"
"731","2.375"
"732","2.375"
"733","2.375"
"734","2.375"
"735","2.375"
"736","2.375"
"737","2.375"
"738","2.375"
"739","2.375"
"740","2.375"
"741","2.375"
"742","2.375"
"743","2.375"
"744","2.375"
"745","2.375"
"746","2.375"
"747","2.375"
"748","2.375"
"749","2.375"
"750","2.375"
"751","2.375"
"752","2.375"
"753","2.375"
"754","2.375"
"755","2.375"
"756","2.375"
"757","2.375"
"758","2.375"
"759","2.375"
"760","2.375"
"761","2.375"
"762","2.375"
"763","2.375"
"764","2.375"
"765","2.375"
"766","2.375"
"767","2.375"
"768","2.375"
"769","2.375"
"770","2.375"
"771","2.375"
"772","2.375"
"773","2.375"
"774","2.375"
"775","2.375"
"776","2.375"
"777","2.375"
"778","2.375"
"779","2.375"
"780","2.375"
"781","2.375"
"782","2.375"
"783","2.375"
"784","2.375"
"785","2.375"
"786","2.375"
"787","2.375"
"788","2.375"
"789","2.375"
"790","2.375"
"791","2.375"
"792","2.375"
"793","2.375"
"794","2.375"
"795","2.375"
"796","2.375"
"797","2.375"
"798","2.375"
"799","2.375"
"800","2.375"
"801","2.375"
"802","2.375"
"803","2.375"
"804","2.375"
"805","2.375"
"806","2.375"
"807","2.375"
"808","2.375"
"809","2.375"
"810","2.375"
"811","2.375"
"812","2.375"
"813","2.375"
"814","2.375"
"815","2.375"
"816","2.375"
"817","2.375"
"818","2.375"
"819","2.375"
"820","2.375"
"821","2.375"
"822","2.375"
"823","2.375"
"824","2.375"
"825","2.375"
"826","2.375"
"827","2.375"
"828","2.375"
